sentence_id,language,node,degree_centrality,harmonic_centrality,betweenness_centrality,pagerank_centrality,root
2,Japanese,6,0.09090909090909091,5.823845598845598,0.09090909090909091,0.048565141080219976,0
2,Japanese,4,0.045454545454545456,4.5611222111222105,0.0,0.027161554598708226,0
2,Japanese,2,0.13636363636363635,6.991702741702742,0.2554112554112554,0.06690120061491789,0
2,Japanese,23,0.045454545454545456,5.157178932178932,0.0,0.025477451147481248,0
2,Japanese,20,0.09090909090909091,7.146825396825397,0.3116883116883117,0.04255190868541363,0
2,Japanese,15,0.13636363636363635,8.038492063492063,0.6277056277056277,0.060261435514610134,0
2,Japanese,3,0.09090909090909091,5.259534909534909,0.09090909090909091,0.04987268389188032,0
2,Japanese,5,0.045454545454545456,4.196439671439672,0.0,0.02771800817141414,0
2,Japanese,14,0.09090909090909091,5.865512265512265,0.17316017316017315,0.04656798733922507,0
2,Japanese,8,0.09090909090909091,6.382178932178932,0.24675324675324675,0.04435199799285512,0
2,Japanese,12,0.09090909090909091,6.98015873015873,0.3116883116883117,0.04244617583617809,0
2,Japanese,9,0.09090909090909091,7.317857142857143,0.5238095238095238,0.04145097507717242,0
2,Japanese,18,0.09090909090909091,7.119047619047619,0.5194805194805194,0.042010288283212224,0
2,Japanese,13,0.09090909090909091,7.177380952380952,0.5064935064935064,0.04205340475670068,0
2,Japanese,19,0.13636363636363635,7.723015873015874,0.5367965367965368,0.06238750055570512,0
2,Japanese,21,0.09090909090909091,7.016269841269841,0.36796536796536794,0.04283538785975409,0
2,Japanese,1,0.09090909090909091,6.299603174603175,0.09090909090909091,0.04656308277356848,0
2,Japanese,22,0.045454545454545456,4.902813852813853,0.0,0.026310619760514544,0
2,Japanese,10,0.13636363636363635,7.026623376623377,0.3246753246753247,0.06577522647283801,1
2,Japanese,16,0.09090909090909091,5.356396381396381,0.09090909090909091,0.04967476582064123,0
2,Japanese,7,0.045454545454545456,4.2455849705849715,0.0,0.02763397080641855,0
2,Japanese,17,0.09090909090909091,6.08023088023088,0.17316017316017315,0.04627073231827722,0
2,Japanese,11,0.045454545454545456,5.1635642135642135,0.0,0.02515850064229346,0
5,Japanese,8,0.11764705882352941,4.907936507936509,0.11764705882352941,0.06365301981921957,0
5,Japanese,9,0.058823529411764705,3.853968253968254,0.0,0.03538658957369038,0
